Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
Assistant City Marshal,Herbert Bronson,,1874-05-16,Saturday,Stabbed,"Charleston Police Department, Illinois",Illinois,,,Edged weapon; Knife,Arrested,"Assistant City Marshal Herbert Bronson was stabbed to death while attempting to arrest a man who was causing a disturbance.The man stabbed Assistant Marshal Bronson in the chest with a knife, killing him. The subject was arrested a short time later."
Constable,Alfred O. Wilson,33.0,1874-06-27,Saturday,Gunfire,"Osage Township Constable's Office, Missouri",Missouri,,,Shotgun,Lynched,Constable Alfred Wilson was shot and killed after chasing a suspect into a field while attempting to serve an arrest warrant for larceny. The suspect was captured and hanged by a mob of angry citizens.Constable Wilson was a veteran of the Confederate Army. He was survived by his wife and three daughters.
Chief of Police,Matthew W. Murphy,32.0,1874-12-26,Saturday,Gunfire,"Columbus Police Department, Georgia",Georgia,10 years,,Handgun,Shot and killed,"Chief Matthew Murphy was shot and killed as he and several Columbus police officers attempted to arrest two brothers on Crawford Street near the Springer Opera House for using obscene language. As the officers talked with the two, one of the men suddenly pulled a gun but was disarmed by one of the officers. The gun was handed to Chief Murphy but the man suddenly pulled a second gun from his coat. Chief Murphy and the man both fired at the same time and Chief Murphy was struck in the chest.The chief's shot missed the suspect. The other officers fired at the fleeing suspects, striking the shooter in the back. The two were arrested and the wounded suspect died a short time later. The remaining suspect was later hanged for his involvement in the incident.At the time of the incident the Columbus Police Department did not have an acting chief. Chief Murphy, who had also served in the Confederate Army, was a marshal for the Muscogee County Marshal's Office. That office was responsible for overseeing the operations of the police department, and Chief Murphy was assigned as the City Marshal for Columbus."
Private,"William A. ""Billy"" Glass",,1874-07-12,Sunday,Gunfire,"Texas Rangers, Texas",Texas,1 month,,Rifle,surrendered,"On May 2, 1874, the Frontier Battalion of the Texas Rangers was created to defend residents against Indian raids. On July 10, Major John B. Jones joined with Captain G. W. Stevens of Company B and moved with them to a camp in Young County. The rangers received word that a band of Comanche had attacked the Loving Ranch and killed cowboys on May 20 and July 10. On July 12, a detachment of about 30 rangers followed an Indian trail for 15 miles into the Lost Valley between Belknap and Jacksboro in Jack County. Unknown to the rangers, they had picked up the trail of a band of 50 Kiowa led by Chief Lone Wolf and his medicine man Maman-ti. Lone Wolf had been fighting off and on with U.S. troops since 1856. His son and nephew were killed by troops from the 4th Cavalry on December 10, 1873 in Edwards County. The Kiowa were joined by some Comanche and group grew to about 150 warriors. The Indians ambushed the rangers, wounding Privates Lee Corn, George Moore and William A. (Billy) Glass. A sniping battle ensued with Glass lying in the open between the two sides. Glass called out, Don’t let them get me. Won’t some of you fellows help? Several rangers ran out and brought Glass back to the gully they were firing from. Glass died from his wound. The wounded rangers were calling for water, but the nearest stream was a mile away. Private Mel Porter decided to ride to the stream and Private David W. H. Bailey volunteered to go with him. The rangers could see Bailey seated on his horse covering Porter while he got water. About 25 Kiowa moved in on them. Bailey called to Porter to flee. The two rangers took off in different directions. Porter barely escaped.   Bailey, however, was cut off, surrounded, and levered off his horse with a lance. Lone Wolf himself chopped his head to pieces with a brass hatchet-pipe, and then disemboweled him. Satisfied with revenging his son and nephew’s deaths, Lone Wolf ordered his band to depart. At 3 a.m. the next day the rangers and army troopers returned and recovered Bailey’s horribly mutilated body.After evading federal troops and conducting several more raids, Lone Wolf surrendered to the U.S. Army at Fort Sill, Oklahoma, on February 26, 1875. He died soon after his release from prison in 1879. There is very little personal information about these two rangers. Both men enlisted in Company B in Wise County on May 16, 1874. Glass had an earlier enlistment for four months in the Wise County Rangers from November 26, 1873 until March 26, 1874. Both men were buried in Cambren Cemetery in Jack County, but the Glass family had him reinterred in the Glass Cemetery in Wise County."
Deputy Sheriff,Edwin P. Daniels,31.0,1874-03-17,Tuesday,Gunfire,"St. Clair County Sheriff's Office, Missouri",Missouri,5 years,,Shotgun,One shot and killed,"Deputy Sheriff Edwin Daniels was shot and killed as he and two Pinkerton private detectives searched for members of the James Younger Gang.  They were wanted for a train robbery that occurred three months earlier. The three men were following a trail about three miles from the town of Roscoe when they were ambushed by the two Younger brothers. When the suspects told the men to drop their weapons, Deputy Daniels shot and killed one of them.The other brother returned fire with a double-barreled shotgun, striking Deputy Daniels in the chest. He then shot and wounded one of the railroad detectives with the other barrel. The suspect then shot and fatally wounded Deputy Daniels with a pistol before fleeing the scene. He was later sentenced to 25 years in a Minnesota prison for a bank robbery and committed suicide after being paroled in 1901.The brother who was shot and killed was wanted in Texas for the double murder of Deputy James McMahan and Deputy Charles Nichols, of the Dallas County Sheriff's Department, on January 16, 1871.  The Younger Gang was also connected to the death of Bureau of Indian Affairs Police Officer Frank West in 1886 by the husband of Bell Starr, an accomplice of the Younger Gang.Deputy Daniels had served with the agency for five years and is buried in Osceola, St. Clair County, Missouri. During the Civil War he served as a private with the Massachusetts 8th Light Artillery from June 2, 1862, until November 29 , 1862."
Police Officer,John Shannon Day,,1874-02-05,Thursday,Gunfire,"Denison Police Department, Texas",Texas,,,Handgun,,Officer Day was shot and killed while attempting to arrest several men at a saloon during a disturbance.
Deputy Sheriff,Parker Morgan,28.0,1874-12-02,Wednesday,Gunfire,"Bosque County Sheriff's Office, Texas",Texas,1 day,,Unknown weapon,unknown,"John and Parker Morgan were deputized to arrest three men who were wanted fugitives from Limestone County. When the two Morgan brothers went to a house in Bosque County to make the arrest they were both shot and killed. One of the unnamed suspects was badly wounded and later his leg had to be amputated. A second suspect named Crowell was arrested in June of 1875 in Polk County. No information was found on the third suspect.John Morgan was survived by his wife Mary and four children. Parker Morgan was single. No cemetery records or the burial location have been found for either John or Parker Morgan."
Deputy Sheriff,Robert F. Hagood,,1874-10-14,Wednesday,Gunfire,"Hunt County Sheriff's Office, Texas",Texas,,,Gun; Unknown type,Arrested,"Deputy Sheriff Robert Hagood had followed horse thief James Glass to Marion and Cass counties in East Texas. Deputy Hagood was killed when he attempted to arrest James Glass.On October 19, 19, 1874, the Hunt County Commissioners Court offered a $500 dollar reward for the arrest of the person or persons responsible for the murder of Deputy Hagood.On December 2, 1875, the Hunt County Commissioners Court ordered the payment of the five hundred dollar reward to three men who had arrested and delivered James Glass to Hunt County Sheriff N.J. Ross.No records were found as to the disposition of the murder charge."
Police Officer,Charles G. Bratton,26.0,1874-11-27,Friday,Stabbed,"Burlingame Police Department, Kansas",Kansas,,,Edged weapon; Knife,Charged with murder,"Police Officer Charles Bratton succumbed to stab wounds sustained five days earlier while assisting the city marshal arrest a man for abusing his wife.The officers were escorting the man to jail when he suddenly pulled out a 10-inch butcher knife and stabbed Officer Bratton twice. The suspect was arrested and charged with murder.Officer Bratton was survived by his parents, sister, and two brothers."
Officer,Charles F. Schoppe,42.0,1874-06-13,Saturday,Gunfire,"Portland Police Bureau, Oregon",Oregon,3 years,,Handgun; Revolver,Sentenced to 99 years,Officer Charles Schoppe was shot and killed by a man at the Cozy Saloon at the intersection of SW Oak Street and SW First Avenue.He was standing outside when he heard a shot and saw the proprietress running from her saloon shouting to him that a man inside had just shot at her. As soon as he entered the saloon the man shot him in the chest.Officer Schoppe clubbed the suspect knocking him unconscious. Other officers entered the saloon to find Officer Schoppe lying dead on top of the suspect.Two weeks later the suspect was convicted of Officer Schoppe's murder and sentenced to 99 years in prison.Officer Schoppe had served with the Portland Police Bureau for three years. He was survived by his wife and two children.
Deputy U.S. Marshal,James P. Everette,,1874-07-10,Friday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Gun; Unknown type,,"Deputy Marshal Everette was shot killed near Lynchburg, Tennessee, by members of the KKK. It is believed that he had fallen off of his horse and was injured when he was attacked and shot twice.After murdering him, the killers destroyed all of the arrest warrants he carried in his saddlebags."
Officer,John G. Duff,33.0,1874-08-10,Monday,Gunfire,"Versailles Police Department, Missouri",Missouri,,,Gun; Unknown type,,Officer Duff was shot and killed while attempting to arrest a horse thief.Officer Duff was a Confederate Civil War Veteran. He was survived by his wife and two daughters.
Officer,Robert Fleet,32.0,1874-08-20,Thursday,Heart attack,"Metropolitan Police Department, District of Columbia",District of Columbia,"4 years, 10 months",,,,"Officer Robert Fleet suffered a fatal heart attack near the intersection of Q Street and 15th Street after running to a police call box to report a fire at approximately 1:20 am.He was walking his beat when he observed a building on fire. He immediately ran to the nearest call box and reported the alarm, then collapsed. Several citizens located his body at the base of the call box and called for help.Officer Fleet had served with the Metropolitan Police Department for just under five years and is believed to be the second African American officer hired by the department. He was a member of the Social Lodge of Mason No. 1. He was survived by his wife and two children."
Private,David W. H. Bailey,,1874-07-12,Sunday,Assault,"Texas Rangers, Texas",Texas,1 month,,Edged weapon; Hatchet,surrendered,"On May 2, 1874, the Frontier Battalion of the Texas Rangers was created to defend residents against Indian raids. On July 10, Major John B. Jones joined with Captain G. W. Stevens of Company B and moved with them to a camp in Young County. The rangers received word that a band of Comanche had attacked the Loving Ranch and killed cowboys on May 20 and July 10. On July 12, a detachment of about 30 rangers followed an Indian trail for 15 miles into the Lost Valley between Belknap and Jacksboro in Jack County. Unknown to the rangers, they had picked up the trail of a band of 50 Kiowa led by Chief Lone Wolf and his medicine man Maman-ti. Lone Wolf had been fighting off and on with U.S. troops since 1856. His son and nephew were killed by troops from the 4th Cavalry on December 10, 1873 in Edwards County. The Kiowa were joined by some Comanche and group grew to about 150 warriors. The Indians ambushed the rangers, wounding Privates Lee Corn, George Moore and William A. (Billy) Glass. A sniping battle ensued with Glass lying in the open between the two sides. Glass called out, Don’t let them get me. Won’t some of you fellows help? Several rangers ran out and brought Glass back to the gully they were firing from. Glass died from his wound. The wounded rangers were calling for water, but the nearest stream was a mile away. Private Mel Porter decided to ride to the stream and Private David W. H. Bailey volunteered to go with him. The rangers could see Bailey seated on his horse covering Porter while he got water. About 25 Kiowa moved in on them. Bailey called to Porter to flee. The two rangers took off in different directions. Porter barely escaped.   Bailey, however, was cut off, surrounded, and levered off his horse with a lance. Lone Wolf himself chopped his head to pieces with a brass hatchet-pipe, and then disemboweled him. Satisfied with revenging his son and nephew’s deaths, Lone Wolf ordered his band to depart. At 3 a.m. the next day the rangers and army troopers returned and recovered Bailey’s horribly mutilated body.After evading federal troops and conducting several more raids, Lone Wolf surrendered to the U.S. Army at Fort Sill, Oklahoma, on February 26, 1875. He died soon after his release from prison in 1879. There is very little personal information about these two rangers. Both men enlisted in Company B in Wise County on May 16, 1874. Glass had an earlier enlistment for four months in the Wise County Rangers from November 26, 1873 until March 26, 1874. Both men were buried in Cambren Cemetery in Jack County, but the Glass family had him reinterred in the Glass Cemetery in Wise County."
Undersheriff,John J. Ellis,48.0,1874-03-21,Saturday,Hypothermia,"Elko County Sheriff's Office, Nevada",Nevada,,,,,Undersheriff John Ellis succumbed to the cold while returning to Elko after collecting court fees. A massive search was launched after he failed to return.His body was not found until two months later when several hunters discovered his snow shoes and a campsite. His body was located approximately 400 yards from the campsite. The fees he had collected were located with his body along with his record book detailing the fees.
Deputy Sheriff,Jabez C. Pierson,,1874-06-09,Tuesday,Gunfire,"Bosque County Sheriff's Office, Texas",Texas,,,Handgun,M.H.,"On Tuesday, June 9, 1874, Bosque County Deputy Sheriff Jabez C. Pierson was transporting prisoner M. H. ""Bud"" Galbreath by horse and wagon from Comanche to Meridian where Galbreath was to be tried for rape. Galbreath was chained. Somehow during the trip along the Bosque River, Galbreath gained possession of Deputy Pierson's pistol, then shot and killed Deputy Sheriff Pierson. Pierson's body was found in the wagon.M. H. ""Bud"" Galbreath, 17 years old, AKA: Gelbrath and Galbraith, had been running with the notorious John Wesley Hardin gang when he was arrested by Texas Rangers in Comanche County. Galbreath escaped from the scene where he murdered Deputy Pierson and fled to Indian Territory (now Oklahoma).Galbreath was arrested in the Indian Territory in 1897. He was brought back to Meridian and tried in 1898, twenty-four years after the murder of Deputy Pierson. The jury gave the following ruling: ""We the Jury find the defendant guilty of manslaughter and as the offense was committed more than three years prior to the finding of this indictment we find him not guilty of that offense, signed Ed M. Kisick, Foreman"".  and  ""It is therefore considered ordered and adjudged by the court the defendant M. H. Galbreath be immediately discharged from all further liability upon the charge for which he has herein been tried and that he go hence without delay"".Jabez C. Pierson was a Confederate War Veteran. He served in Co. B, 31st Texas Calvary C. S. A.  In 1875 Bosque County Sheriff John A. Biffle while writing about Galbreath said....""he killed one of the best men in Texas [J.C. Pierson]"". Jabez C. Pierson is buried in Section M, Meridian City Cemetery, Meridian, Texas."
Officer,James P. Farmer,24.0,1874-06-17,Wednesday,Gunfire,"Bryan Police Department, Texas",Texas,,,Gun; Unknown type,Hanged and shot by an angry mob,"Officer Farmer was shot and killed as he stood inside a telegram store talking to two men.  The suspect that fired the shot was arrested, but before he could stand trial an angry mob stormed the jail and took the suspect.  They then hung the suspect in the middle of town and shot him"
Constable,Joseph Mefford,,1874-07-02,Thursday,Gunfire,"Scott County Constable's Office, Kentucky",Kentucky,,,Handgun,,"Constable Joseph Mefford was shot and killed while attempting to arrest a drunk man causing a disturbance at a community picnic six miles north of Stamping Ground, near the Owen County line.The subject was attempting to start a fight with another man when Constable Mefford intervened and instructed him to leave or he would be arrested. The subject then drew a handgun, prompting Constable Mefford to draw his own weapon and grab the man's arm. The subject then shot Constable Mefford in the head, killing him instantly, before fleeing."
Private,W. H. Cliff,23.0,1874-09-23,Wednesday,Drowned,"Texas Rangers, Texas",Texas,"3 months, 2 weeks",,,,"Company E of the Frontier Battalion under the command of Captain W.J. Maltby had established a camp on Home Creek in Coleman County about 18 miles from Brownwood. The rangers were engaged in battling Comanche and Kiowa raiding parties. While Captain Maltby was on patrol two rangers arrived advising that a flood had destroyed their camp. A sudden storm struck at 3:00 a.m. and a ranger on guard gave an alarm. The rangers tried to cut the horses loose and climbed trees. Within five minutes the entire was washed away. Ranger Private Cliff was drowned as were seven horses and one pack mule. Captain Maltby sent an escort to retrieve Cliff’s body and take it back to Camp Colorado. Private Cliff was buried with the honors of war. Cliff enlisted on June 6, 1874 in Brownwood. He was reportedly from Hopkins County. "
Special Officer,William Hogsett,25.0,1874-10-03,Saturday,Stabbed,"Oswego Police Department, Kansas",Kansas,,,Edged weapon; Knife,Sentenced to 17 years,"Officer Hogsett was stabbed to death at the county fair while attempting to arrest a man. The suspect and another man had gotten into an altercation over a seat on a ride. When Officer Hogsett attempted to arrest one of the men the man pulled a pocket knife and stabbed Officer Hogsett and the other man to death. The man also stabbed and wounded another officer before being taken into custody. Fearing the citizens would lynch the suspect, he was taken to Fort Scott to be locked up. The suspect was convicted of manslaughter and sentenced to 17 years hard labor."
Deputy Sheriff,Charles Webb,25.0,1874-05-26,Tuesday,Gunfire,"Brown County Sheriff's Office, Texas",Texas,,,Handgun; .44 caliber,Shot and killed,"Deputy Charles Webb was shot and killed by a notorious outlaw wanted for murder, robbery, and cattle rustling. He had encountered the suspect outside of a local saloon and a gunfight ensued. Deputy Webb was able to shoot the man in the side before being shot in the head. As he fell two accomplices continued to shoot him.The suspect was taken into custody, after being shot and wounded, by Texas Rangers outside of Pensacola, Florida. He was sentenced to 25 years but was pardoned by the Texas governor after serving only 16 years despite having murdered a reported 48 people. Following his release he became a lawyer, but was later shot and killed by a constable.  The suspect's brother killed Kimble County Texas Deputy Sheriff John Turman in 1898.Of the accomplices, one was lynched May 31, 1874 and one was killed December 27, 1875.Deputy Webb had previously served as a Texas Ranger and was a Mason.  He was buried in Greenleaf Cemetery, in Brownwood, Texas."
Constable,Henry Hess,,1874-07-26,Sunday,Drowned,"Pennsylvania State Constable - Allegheny County, Pennsylvania",Pennsylvania,,,,,"Constable Henry Hess drowned while attempting to rescue citizens during a flood in Allegheny City.Heavy rains had caused a stream above O'Hara Street (present day Spring Garden Avenue in Pittsburgh) overflow, which resulted in a large landslide. Constable Hess became caught in the flood waters and drowned as he attempted to rescue several citizens in the area of Concord Street and Chestnut Street.Constable Hess' body was located along Perry Street the following morning. An estimated 150 to 200 people died in the flood.Constable Hess was the constable of Allegheny City's Ward 3. He was a Union Army veteran of the Civil War."
Deputy U.S. Marshal,Noah H. Burns,33.0,1874-02-15,Sunday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Handgun,Charged with murder,"Deputy U.S. Marshal Noah Burns was shot and killed in Swain County, North Carolina, while attempting to serve court papers as part of a moonshine case.The subject who shot him was arrested and charged with murder.Deputy Marshal Burns was a Confederate Civil War Veteran in the 16th North Carolina Infantry, Company A."
Special Officer,Charles Hale,35.0,1874-10-07,Wednesday,Gunfire,"Atchison, Topeka and Santa Fe Railroad Police Department, Railroad Police",United States,,,Gun; Unknown type,Released,"Special Officer Charles Hale was shot and killed in Hutchinson, Kansas, while attempting to arrest a man who was stealing coal from a railcar.The man opened fire on Officer Hale with a pistol, fatally wounding him.The subject was arrested but later released on a writ of habeas corpus.Officer Hale was a Union Army veteran of the Civil War. He was survived by his wife and one child."
Special Police Officer,Mathew Hamilton,51.0,1874-12-03,Thursday,Heart attack,"Winona Police Department, Minnesota",Minnesota,,,,,"Officer Hamilton suffered a fatal heart attack shortly after being assaulted and choked by a vagrant who he was attempted to remove from the train depot. Officer Hamilton requested assistance to go home where he collapsed and died.Officer Hamilton was survived by his wife and two children."
City Marshal,Thomas H. Chandler,56.0,1875-12-27,Monday,Gunfire,"Lebanon Police Department, Kentucky",Kentucky,,,Handgun,,"City Marshal Thomas Chandler was shot and killed as he and a posse attempted to arrest a man. Marshal Chandler shot the man when he refused to surrender, and was then fatally shot by the man's brother."
Undersheriff,Zach Allen,41.0,1875-08-09,Monday,Gunfire (Inadvertent),"Rio Grande County Sheriff's Office, Colorado",Colorado,,,,,"Undersheriff Zach Allen was shot and killed in a case of mistaken identity.He and a Del Norte police officer had arrested two horse thieves and placed them in the county jail. They received word that friends of the men were going to try to break them out overnight.The Del Norte officer was tasked with guarding the jail and the two agreed that Undersheriff Allen were to give a signal when he returned. At approximately 2:00 am Undersheriff Allen returned to the jail and was challenged by the Del Norte officer. Undersheriff Allen failed to give the agreed upon signal and was shot by the officer, who didn't realize it was the undersheriff.Undersheriff Allen acknowledged on his deathbed that he should have given the signal.Undersheriff Allen had previously served as the sheriff of both Huerfano County and Pueblo County. He was survived by his wife and four children."
Sheriff,Joseph H. Baker,40.0,1875-10-12,Tuesday,Gunfire,"Portage County Sheriff's Department, Wisconsin",Wisconsin,6 years,,Gun; Unknown type,Lynched,"Sheriff Joseph Baker was shot and killed when he attempted to serve an eviction notice and other court papers to a pair of brothers.Sheriff Baker was outside the premise and was shot by one of the brothers who had fired from a second-floor window. The sheriff was taken to a nearby house, where he died the following day. Both suspects were taken into custody a short time later.A week later, an angry mob broke into the jail and hanged both suspects. The suspect who shot Sheriff Baker had served several years in New York's Sing Sing Prison for murder.Sheriff Baker had served four years with the 18th Wisconsin Infantry during the Civil War. He received a severe wound at the Battle of Shiloh. He entered the war as a private and came out as a 1st Lieutenant. Sheriff Baker was serving his second term as Sheriff of the Portage County Sheriff's Department. He was survived by his wife and four children."
Patrolman,John Cummings,38.0,1875-09-10,Friday,Assault,"St. Louis Metropolitan Police Department, Missouri",Missouri,1 year,,Person,sentenced to 10 years,"Patrolman Cummings succumbed to injuries received the previous day when he was beaten by two men he was attempting to arrest. He had responded to a bar at Morgan and Jefferson Street over a dispute of a bar tab. When he entered the two men began to beat him with a club and kick him. After the assault he was taken to his home where his condition deteriorated, causing his death the next day. The two suspects were apprehended and held for trial.One of the suspects was convicted of manslaughter and sentenced to 10 years."
Sheriff,Alexander Ramsey,27.0,1875-06-07,Monday,Gunfire,"Ellis County Sheriff's Office, Kansas",Kansas,,,Gun; Unknown type,Shot and killed,"Sheriff Ramsey was shot and killed when he and a deputy encountered two horse thieves while traveling to Stockton, Kansas. They observed a horse trail in Rooks County and went to investigate to see if the county's most wanted man and horse thief was involved. They encountered two men attempting to sell horses and a shootout ensued. Sheriff Ramsey and one of the suspects were killed. The second suspect was wounded and apprehended, but acquitted at trial.When Sheriff Ramsey's 24-year-old wife was told of his death she went into a state of shock and died a few days later. He was a Union Civil War Veteran."
Patrolman,Benjamin Franklin Yost,34.0,1875-07-06,Tuesday,Gunfire,"Tamaqua Borough Police Department, Pennsylvania",Pennsylvania,,,Handgun; .32 caliber,Ten executed,"Patrolman Benjamin Yost was shot and killed in retaliation for a previous arrest he had made.Patrolman Yost was on foot patrol when two men approached and shot him.  He died from the wounds.It was later discovered that Patrolman Yost was killed because he had previously arrested a member of a notorious gang know as the Order of the Molly Maguires.  This group of local miners had assigned two men to murder Patrolman Yost following the arrest of one of the gang's members.Ten men were later arrested and charged in connection with two murders, including Patrolman Yost's .  All ten men were later executed.Patrolman Yost had served in the Civil war. He is buried in Odd Fellows Cemetery, Tamaqua, Pennsylvania."
Deputy Keeper,Bartholomew B. Purdy,62.0,1875-03-29,Monday,Heart attack,"New York City Department of Correction, New York",New York,2 years,,Arson,,"Deputy Keeper Bartholomew Purdy suffered a fatal heart attack after responding to a fire that had intentionally been set by a female inmate inside her cell at the Harlem 5th District Prison.The inmate had previously attempted to commit suicide by hanging and had been placed inside a secure cell as a result. She was somehow able to light a fire, which engulfed her cell and her clothing. As Keeper Purdy attempted to open the door he collapsed.Another inmate used Keeper Purdy's keys to let himself out of the jail and he ran to the nearby police station to alert authorities.Deputy Keeper Purdy was a U.S. Army veteran of the Civil War and had served as a deputy keeper at the prison for two years. He was survived by his wife and eight children."
Patrolman,John L. Hart,44.0,1875-06-13,Sunday,Gunfire,"Shreveport Police Department, Louisiana",Louisiana,6 months,,Handgun,Charged with murder,Patrolman John Hart was shot and killed while attempting to arrest a man who was causing a disturbance at a local saloon.The saloon's owner had thrown the man out and continued to be loud outside. The subject shot Patrolman Hart when the officer attempted to arrest him. The man was then arrested by another officer and charged with murder.Patrolman Hart had served with the Shreveport Police Department for only six months. He was survived by his wife and six children.
Police Officer,Charles Patman,36.0,1875-05-02,Sunday,Gunfire,"Denison Police Department, Texas",Texas,,,Rifle,Apprehended,"Police Officer Charles Patman was shot and killed while he and his partner searched a man suspected of having a concealed weapon. During the search a second man approached them and fatally shot Officer Patman in the face and wounded his partner.Both suspects fled the scene but were later apprehended. The man who shot the officers had recently been acquitted of murdering to men in Hearn, Texas, and was a notorious outlaw. He was charged with murder and attempted murder but the charges were dismissed in 1879 when the key witness in the case disappeared.Officer Patman was survived by his wife and three children."
Patrolman,John Michael Kick,35.0,1875-05-15,Saturday,Gunfire,"Cleveland Division of Police, Ohio",Ohio,10 years,42,Gun; Unknown type,Never charged,"Patrolman John Kick succumbed to gunshot wound sustained two days earlier as he and several officers were conducting a surveillance on a group of six burglars at a saloon. The suspects came out of the saloon near the intersection of Monroe Street and Pearl Street and started threatening the officers.  The suspects opened fire striking Patrolman Kick in the chest.The suspects were arrested, but never charged with Patrolman Kick's murder. Patrolman Kick had served with the Cleveland Police Department for 10 years and was the first officer of the CPD killed in the line of duty since it's creation in 1866. He had previously served with the United States Army during the Civil War with the US Missouri Unit. He is buried in Section M, Lot 74 of the Monroe Street Cemetery, Cleveland, Cuyahoga County, Ohio. He was survived his wife and four children."
Police Officer,Cornelius L. Fahey,35.0,1875-03-08,Monday,Gunfire,"Austin Police Department, Texas",Texas,,,Gun; Unknown type,Apprehended,Police Officer Fahey was shot through the abdomen and killed by a drunk suspect on Congress Avenue between midnight and 1 a.m. The suspect fled the scene on horseback but was later apprehended several miles away.He is the first Austin police officer known to have died in the line of duty.
Deputy,Jimmy Carr,,1875-01-15,Friday,Gunfire,"Scott County Sheriff's Office, Missouri",Missouri,,,Gun; Unknown type,,Deputy Carr was shot and killed while serving on a posse trying to catch a fugitive.
Officer,Albert M. Logan,23.0,1875-06-28,Monday,Gunfire,"Ottumwa Police Department, Iowa",Iowa,3 years,,Gun; Unknown type,Executed,"Officer Albert Logan was shot and killed after arresting a man for causing a disturbance. The suspect was convicted of Officer Logan's murder, but hung by a lynch mob.Officer Logan was single and had served with the agency for 3 years."
Deputy Sheriff,Robert Ned Clendennen,25.0,1875-05-21,Friday,Gunfire,"Limestone County Sheriff's Office, Texas",Texas,,,Rifle,,"Deputy Sheriff Robert Clendennen was shot and killed while attempting to arrest a man who just set the county courthouse on fire.After setting the fire, which destroyed all the county's records, the suspect returned to his home near Groesbeck.  When a posse, including Deputy Clendennen, arrived, the suspect fled from his residence firing at the officers as he exited. Deputy Clendennen was struck and died at the scene.Deputy Clendennen was survived by his sister."
Patrolman,Jacob Reupp,36.0,1875-06-14,Monday,Gunfire,"Trenton Police Department, New Jersey",New Jersey,,,Handgun,Sentenced to 2 years,Patrolman Reupp succumbed to injuries received nine days earlier when he was shot while arresting a man for drunk and disordely conduct. During the arrest he was shot once in the abdomen. After walking the suspect to jail Patrolman Reupp was sent home and was taken care of by a physician until his death. He was the first Trenton police officer to be killed in the line of duty.The suspect was convicted of manslaughter and sentenced to 2 years.
Private,L. B. Smith,17.0,1875-06-12,Saturday,Gunfire,"Texas Rangers, Texas",Texas,"10 months, 2 weeks",,Handgun,killed by fellow rangers,"On Saturday, June 12, 1875, Captain L. H. McNelly requested 22 volunteers to intercept a band of Mexican bandits at Palo Alto Prairie, a few miles from Brownsville in Cameron County. D. R. Smith and his son, Berry, were the oldest and youngest rangers in the company. D. R. requested that his son be allowed to stay in camp with him. He told Captain McNelly that Berry was an only child and if he were killed his mother would grieve to death. Berry protested and told the Captain that every boy’s mother in the company would grieve if they were killed.The rangers battled the bandits in hand-to-hand combat across the prairie. The rangers killed 16 bandits and no rangers were wounded. As they were re-grouping they saw Ranger Spencer J. Adams near a Spanish pond in a field of grass 6-8 feet high. Adams advised the Captain that he and Berry Smith spotted a bandit, who was shot in the fight, crawl off into the grass. Berry Smith volunteered to dismount and go into the grass after him. Adams stayed on his horse to see over the grass and prevent an escape. Adams said the bandit shot Smith and killed him. The rangers surrounded the pond and shot into the grass, killing the bandit.The bodies of the bandits were taken to Brownsville, and stacked on the town square. At 3:00 p.m. on Sunday, June 13, 1875, McNelly had Smith’s body taken to the city cemetery under military and ranger escort and afforded a full military funeral. Sadly, no marker exists to recognize the heroics of Ranger Smith. He was an only child and was survived by his father and mother. Smith enlisted with his father in the Washington County Volunteer Militia in Austin, Travis County, on July 25, 1874, and served 10 months and 18 days. Smith was called “Sonny” and “Berry.” Captain McNelly reported his name as Benjamin. His age was reported as 16, 17, and 18 years of age at his death. The City of Brownsville Record of Interments reports his age as 17. Smith is the youngest Texas Ranger killed in the line of duty, and the youngest recorded line of duty death in State of Texas."
Captain,Josiah D. Baxter,57.0,1875-05-03,Monday,Gunfire,"Plymouth Police Department, Massachusetts",Massachusetts,17 years,,Gun; Unknown type,Sentenced to life,Captain Baxter was shot and killed while trying to arrest a domestic abuser. The suspect was captured a short time later.The suspect was convicted of second degree murder and sentenced to life in prison.Captain Baxter was survived by his wife.
Deputy Sheriff,Rufus N. Wallingford,58.0,1875-08-10,Tuesday,Gunfire,"Hillsborough County Sheriff's Office, New Hampshire",New Hampshire,,,Gun; Unknown type,,"Deputy Sheriff Rufus Wallingford was shot and killed shortly after midnight near the fairgrounds one-half mile south of Milford, New Hampshire.His body was found shortly after 5:00 am suffering from a gunshot wound in his chest. His revolver was found nearby and his wallet was missing. A package of writs he was serving was also located near his body.Deputy Wallingford was survived by his wife, daughter, two sons, and by his three siblings."
